Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating
PANW,"Palo Alto Networks, Inc.",375.76,USD,-2.2145887006531844,5088770,0.8788410144988195,306244391244.2943,USD,309.08941350662167,1.2157,USD,-30.432045779685268,0,Technology services,Buy
GS,"Goldman Sachs Group, Inc. (The)",1051.31,USD,1.1439071790036628,1450700,0.8258809349197624,306111435596.30536,USD,16.22537202403919,64.7942,USD,42.76881720430108,1.63552750572435,Finance,Neutral
RY,Royal Bank Of Canada,216.19,USD,-0.170853343184339,586410,0.46766812717421297,299768955329.7912,USD,19.10067154052474,11.31845022,USD,24.338571258428367,2.18822746923844,Finance,Buy
RTX,RTX Corporation,221.64,USD,-0.5964928017222103,5187620,1.2448803305922513,298717124364.5032,USD,39.02799788695192,5.679,USD,24.774794568704138,1.24231959456429,Electronic technology,Buy
ARM,Arm Holdings plc,271.43,USD,-2.8664471800744313,3713758,0.8213437856472386,298441922607,USD,278.44686089454245,0.9748,USD,48.43916552459267,0,Electronic technology,Buy
BABA,Alibaba Group Holding Limited,124.71,USD,0.7269202810758351,8894255,0.9758610989436742,292902935220.6594,USD,20.139202893869903,6.1924,USD,-16.88053691275168,0.831919877231241,Retail trade,Strong buy
PM,Philip Morris International Inc,184.52,USD,-3.0831451231682214,5803589,1.3384718702546066,287595366783.2815,USD,26.523307795138642,6.9569,USD,32.011992637431455,3.08839749986869,Consumer non-durables,Buy
GEV,GE Vernova Inc.,1079,USD,1.4813073124853045,2091098,1.1577615024526395,287373941070.4303,USD,30.886107835167223,34.9348,USD,735.9407527936638,0.164589701387256,Producer manufacturing,Buy
NVS,Novartis AG,151.97,USD,0.7224284199363755,1198730,0.8234568950303858,275503623236.88403,USD,22.925372233703932,6.6289,USD,-3.9999420718020047,2.04212619300106,Health technology,Neutral
KLAC,KLA Corporation,205.76,USD,1.0013744354997016,9478968,0.9290147516848091,268835061493.95016,USD,56.1005534803828,3.6677,USD,20.65993354607363,0.331337129393285,Electronic technology,Buy
